School Name,School Type,Starting Median Salary,Mid-Career Median Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary
Princeton University,Ivy League,"$66,500.00","$131,000.00","$100,000.00","$190,000.00"
Yale University,Ivy League,"$59,100.00","$126,000.00","$80,600.00","$198,000.00"
Harvard University,Ivy League,"$63,400.00","$124,000.00","$86,200.00","$179,000.00"
University of Pennsylvania,Ivy League,"$60,900.00","$120,000.00","$79,200.00","$192,000.00"
Cornell University,Ivy League,"$60,300.00","$110,000.00","$79,800.00","$160,000.00"
Brown University,Ivy League,"$56,200.00","$109,000.00","$74,400.00","$159,000.00"
Columbia University,Ivy League,"$59,400.00","$107,000.00","$71,900.00","$161,000.00"
"University of California, Berkeley",State,"$59,900.00","$112,000.00","$81,000.00","$149,000.00"
University of Virginia (UVA),State,"$52,700.00","$103,000.00","$71,800.00","$146,000.00"
Cal Poly San Luis Obispo,State,"$57,200.00","$101,000.00","$74,700.00","$133,000.00"
University of California at Los Angeles (UCLA),State,"$52,600.00","$101,000.00","$72,500.00","$139,000.00"
"University of California, San Diego (UCSD)",State,"$51,100.00","$101,000.00","$75,400.00","$131,000.00"
"University of California, Davis",State,"$52,300.00","$99,600.00","$71,600.00","$135,000.00"
University of Colorado - Boulder (UCB),State,"$47,100.00","$97,600.00","$69,000.00","$128,000.00"
"University of California, Irvine (UCI)",State,"$48,300.00","$96,700.00","$66,000.00","$123,000.00"
University of Illinois at Urbana-Champaign (UIUC),State,"$52,900.00","$96,100.00","$68,900.00","$132,000.00"
Texas A&M University,State,"$49,700.00","$96,100.00","$71,300.00","$131,000.00"
Binghamton University,State,"$53,600.00","$95,900.00","$71,200.00","$146,000.00"
University of Missouri - Rolla (UMR),State,"$57,100.00","$95,800.00","$80,400.00","$122,000.00"
San Jose State University (SJSU),State,"$53,500.00","$95,600.00","$70,500.00","$122,000.00"
"University of Maryland, College Park",State,"$52,000.00","$95,000.00","$68,300.00","$126,000.00"
"University of California, Santa Barbara (UCSB)",State,"$50,500.00","$95,000.00","$71,200.00","$129,000.00"
University of Texas (UT) - Austin,State,"$49,700.00","$93,900.00","$67,400.00","$129,000.00"
University of Michigan,State,"$52,700.00","$93,000.00","$69,400.00","$128,000.00"
Stony Brook University,State,"$49,500.00","$93,000.00","$67,100.00","$129,000.00"
State University of New York (SUNY) at Albany,State,"$44,500.00","$92,200.00","$63,100.00","$135,000.00"
Rutgers University,State,"$50,300.00","$91,800.00","$65,100.00","$128,000.00"
Purdue University,State,"$51,400.00","$90,500.00","$67,400.00","$121,000.00"
University of Connecticut (UConn),State,"$48,000.00","$88,800.00","$66,400.00","$120,000.00"
University of Massachusetts (UMass) - Amherst,State,"$46,600.00","$88,200.00","$61,300.00","$122,000.00"
"California State University (CSU), Chico",State,"$47,400.00","$88,100.00","$62,800.00","$122,000.00"
University of Florida (UF),State,"$47,100.00","$87,900.00","$62,900.00","$120,000.00"
University of Wisconsin (UW) - Madison,State,"$48,900.00","$87,800.00","$62,400.00","$118,000.00"
Louisiana State University (LSU),State,"$46,900.00","$87,800.00","$61,300.00","$120,000.00"
"California State University, Fullerton (CSUF)",State,"$45,700.00","$87,000.00","$62,500.00","$119,000.00"
George Mason University,State,"$47,800.00","$86,900.00","$67,200.00","$114,000.00"
University of Massachusetts (UMass) - Lowell,State,"$45,400.00","$86,600.00","$65,000.00","$113,000.00"
San Francisco State University (SFSU),State,"$47,300.00","$86,400.00","$62,700.00","$114,000.00"
University of Arizona,State,"$47,500.00","$86,100.00","$61,700.00","$117,000.00"
Clemson University,State,"$48,400.00","$86,000.00","$61,800.00","$111,000.00"
University of Georgia (UGA),State,"$44,100.00","$86,000.00","$57,800.00","$118,000.00"
Pennsylvania State University (PSU),State,"$49,900.00","$85,700.00","$62,000.00","$117,000.00"
University of Washington (UW),State,"$48,800.00","$85,300.00","$59,800.00","$115,000.00"
Michigan State University (MSU),State,"$46,300.00","$85,300.00","$61,500.00","$119,000.00"
University of Rhode Island (URI),State,"$43,900.00","$85,300.00","$60,100.00","$112,000.00"
San Diego State University (SDSU),State,"$46,200.00","$85,200.00","$61,800.00","$116,000.00"
Auburn University,State,"$45,400.00","$84,700.00","$62,700.00","$109,000.00"
Washington State University (WSU),State,"$45,300.00","$84,700.00","$59,000.00","$113,000.00"
"California State University, Long Beach (CSULB)",State,"$45,100.00","$84,700.00","$62,500.00","$113,000.00"
Iowa State University,State,"$45,400.00","$84,600.00","$60,000.00","$109,000.00"
University of Delaware,State,"$45,900.00","$84,500.00","$64,000.00","$119,000.00"
University of Colorado - Denver,State,"$46,100.00","$84,400.00","$58,600.00","$105,000.00"
"California State University, East Bay (CSUEB)",State,"$49,200.00","$84,300.00","$62,400.00","$115,000.00"
State University of New York (SUNY) at Farmingdale,State,"$47,300.00","$84,200.00","$59,800.00","$110,000.00"
University of Minnesota,State,"$46,200.00","$84,200.00","$63,200.00","$112,000.00"
Arizona State University (ASU),State,"$47,400.00","$84,100.00","$60,700.00","$114,000.00"
"University of California, Santa Cruz (UCSC)",State,"$44,700.00","$84,100.00","$62,000.00","$121,000.00"
"Indiana University (IU), Bloomington",State,"$46,300.00","$84,000.00","$60,400.00","$119,000.00"
University of Iowa (UI),State,"$44,700.00","$83,900.00","$61,100.00","$116,000.00"
Ohio State University (OSU),State,"$44,900.00","$83,700.00","$60,700.00","$116,000.00"
North Carolina State University (NCSU),State,"$47,200.00","$83,300.00","$64,800.00","$112,000.00"
Oregon State University (OSU),State,"$45,100.00","$83,300.00","$64,000.00","$113,000.00"
University of Utah,State,"$45,400.00","$83,200.00","$58,400.00","$116,000.00"
"University of Nevada, Reno (UNR)",State,"$46,500.00","$82,900.00","$54,600.00","$113,000.00"
University of Oklahoma,State,"$44,700.00","$82,900.00","$60,300.00","$114,000.00"
University of Arkansas,State,"$44,100.00","$82,800.00","$60,700.00","$113,000.00"
University of Vermont (UVM),State,"$44,800.00","$82,700.00","$58,000.00","$122,000.00"
University of Alabama at Huntsville (UAH),State,"$43,100.00","$82,700.00","$67,800.00","$106,000.00"
"California State University, Sacramento (CSUS)",State,"$47,800.00","$82,400.00","$59,600.00","$111,000.00"
University of Idaho,State,"$44,900.00","$82,000.00","$56,700.00","$104,000.00"
University of Illinois at Chicago,State,"$47,500.00","$81,700.00","$58,800.00","$110,000.00"
State University of New York (SUNY) at Buffalo,State,"$46,200.00","$81,700.00","$61,400.00","$110,000.00"
University of Kansas,State,"$42,400.00","$81,600.00","$57,200.00","$115,000.00"
University of New Mexico (UNM),State,"$41,600.00","$81,600.00","$59,100.00","$105,000.00"
University of North Carolina at Chapel Hill (UNCH),State,"$42,900.00","$81,500.00","$57,500.00","$117,000.00"
"University of Alabama, Tuscaloosa",State,"$41,300.00","$81,400.00","$56,500.00","$117,000.00"
